iter	Passed	Remaining
0	105	10473
1	239	11718
2	327	10573
3	514	12341
4	623	11849
5	727	11398
6	826	10985
7	1026	11801
8	1236	12506
9	1384	12457
10	1545	12504
11	1666	12219
12	1786	11958
13	1950	11982
14	2042	11572
15	2147	11275
16	2229	10887
17	2349	10704
18	2442	10411
19	2572	10289
20	2679	10079
21	2807	9954
22	2889	9672
23	2998	9493
24	3100	9302
25	3209	9134
26	3323	8986
27	3430	8822
28	3531	8645
29	3661	8543
30	3741	8327
31	3831	8142
32	3920	7960
33	4056	7875
34	4141	7690
35	4245	7547
36	4348	7403
37	4439	7243
38	4546	7111
39	4659	6989
40	4751	6836
41	4884	6745
42	5014	6646
43	5127	6525
44	5264	6434
45	5379	6315
46	5489	6189
47	5583	6048
48	5688	5920
49	5834	5834
50	5984	5749
51	6113	5642
52	6259	5550
53	6372	5428
54	6464	5288
55	6576	5167
56	6677	5037
57	6773	4904
58	6869	4773
59	7001	4667
60	7125	4555
61	7267	4454
62	7382	4335
63	7479	4207
64	7580	4081
65	7695	3964
66	7822	3852
67	7947	3739
68	8089	3634
69	8195	3512
70	8311	3394
71	8432	3279
72	8547	3161
73	8674	3047
74	8783	2927
75	8894	2808
76	9028	2696
77	9122	2573
78	9240	2456
79	9376	2344
80	9555	2241
81	9688	2126
82	9790	2005
83	9894	1884
84	10002	1765
85	10110	1645
86	10222	1527
87	10378	1415
88	10462	1293
89	10607	1178
90	10716	1059
91	10812	940
92	10908	821
93	11007	702
94	11170	587
95	11288	470
96	11389	352
97	11508	234
98	11640	117
99	11723	0
