iter	Logloss
0	0.6706190876
1	0.6606885026
2	0.656606222
3	0.6540167936
4	0.6523728132
5	0.6515126989
6	0.6509164507
7	0.649870169
8	0.6494856008
9	0.6492093925
10	0.6488139483
11	0.6484336626
12	0.6479687908
13	0.6475808153
14	0.6473123792
15	0.6471248278
16	0.646802252
17	0.646575716
18	0.6463642847
19	0.6462046733
20	0.6460004805
21	0.6458438187
22	0.6456192402
23	0.6454261002
24	0.6452045715
25	0.6449770633
26	0.6447434442
27	0.6444933908
28	0.6443313571
29	0.6441317499
30	0.6439448597
31	0.6437797078
32	0.6435487087
33	0.6433387968
34	0.6430912807
35	0.6428599685
36	0.6426856453
37	0.6424061408
38	0.6422140889
39	0.6420166055
40	0.6417650187
41	0.6415936619
42	0.6414473733
43	0.64124082
44	0.6409897731
45	0.6408277547
46	0.6406178435
47	0.6404325126
48	0.6402396737
49	0.6400698179
50	0.6399243232
51	0.6397479634
52	0.6395960137
53	0.6393509294
54	0.6391740171
55	0.6390640361
56	0.6389116166
57	0.6387626581
58	0.6386114199
59	0.6384383212
60	0.6382422672
61	0.6381062171
62	0.6379518128
63	0.6378764976
64	0.6376253446
65	0.6375294877
66	0.6373947899
67	0.6371951061
68	0.6370883777
69	0.6368958356
70	0.6367202598
71	0.6365485974
72	0.6364310805
73	0.6362835847
74	0.6361645711
75	0.6360050655
76	0.6358415877
77	0.6356846648
78	0.6355375685
79	0.6353259938
80	0.6351492669
81	0.6349735256
82	0.6347765227
83	0.6346432033
84	0.6344454765
85	0.6342896703
86	0.6341987405
87	0.6340905233
88	0.6339225987
89	0.633783392
90	0.6336704717
91	0.6334798427
92	0.633392397
93	0.6332525134
94	0.6330962171
95	0.6329308942
96	0.6327874897
97	0.6326704234
98	0.6325343338
99	0.6322973056
