iter	Passed	Remaining
0	116	11526
1	186	9133
2	254	8215
3	319	7670
4	394	7502
5	456	7155
6	530	7042
7	611	7031
8	673	6813
9	736	6625
10	806	6522
11	873	6402
12	955	6392
13	1042	6401
14	1145	6488
15	1251	6568
16	1345	6569
17	1454	6624
18	1539	6564
19	1625	6502
20	1713	6444
21	1801	6387
22	1868	6256
23	1940	6144
24	2026	6080
25	2107	5997
26	2180	5895
27	2287	5881
28	2376	5818
29	2459	5738
30	2527	5626
31	2595	5516
32	2673	5428
33	2740	5320
34	2811	5221
35	2892	5141
36	2957	5036
37	3023	4933
38	3110	4865
39	3204	4806
40	3284	4726
41	3342	4615
42	3396	4502
43	3457	4400
44	3517	4299
45	3575	4196
46	3630	4093
47	3688	3996
48	3747	3900
49	3803	3803
50	3875	3723
51	3943	3639
52	4002	3549
53	4057	3456
54	4113	3365
55	4175	3281
56	4235	3195
57	4292	3108
58	4349	3022
59	4406	2937
60	4475	2861
61	4532	2777
62	4588	2694
63	4651	2616
64	4714	2538
65	4774	2459
66	4833	2380
67	4907	2309
68	4969	2232
69	5034	2157
70	5093	2080
71	5155	2004
72	5208	1926
73	5265	1849
74	5321	1773
75	5380	1699
76	5439	1624
77	5499	1551
78	5554	1476
79	5611	1402
80	5672	1330
81	5727	1257
82	5785	1184
83	5848	1114
84	5911	1043
85	5974	972
86	6029	900
87	6085	829
88	6153	760
89	6207	689
90	6264	619
91	6331	550
92	6392	481
93	6447	411
94	6501	342
95	6556	273
96	6615	204
97	6673	136
98	6731	67
99	6784	0
